api-1              | INFO:     172.18.0.12:48630 - "GET /api/ratings?asset_id=ba38c941-65bc-4e9f-bc4e-d3744644b17d&limit=100 HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:12 +0000] "GET /api/ratings?asset_id=ba38c941-65bc-4e9f-bc4e-d3744644b17d&limit=100 HTTP/1.1" 200 22 "https://ai.obtv.io/library/ba38c941-65bc-4e9f-bc4e-d3744644b17d" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
watcher-1          | 2026-08-25 23:05:14,115 INFO New file detected: /curator-inbox/HD-P240829.xml
api-1              | INFO:     127.0.0.1:44876 - "GET /api/healthz HTTP/1.1" 200 OK
api-1              | INFO:     172.18.0.12:35534 - "GET /api/jobs?media_id=ba38c941-65bc-4e9f-bc4e-d3744644b17d HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:15 +0000] "GET /api/jobs?media_id=ba38c941-65bc-4e9f-bc4e-d3744644b17d HTTP/1.1" 200 7711 "https://ai.obtv.io/library/ba38c941-65bc-4e9f-bc4e-d3744644b17d" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
worker-gpu-2-1     | [2026-08-25 23:05:16,905: INFO/ForkPoolWorker-1] HTTP Request: POST http://192.168.101.1:8001/v1/chat/completions "HTTP/1.1 200 OK"
api-1              | INFO:     172.18.0.12:35548 - "GET /api/jobs?media_id=ba38c941-65bc-4e9f-bc4e-d3744644b17d HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:19 +0000] "GET /api/jobs?media_id=ba38c941-65bc-4e9f-bc4e-d3744644b17d HTTP/1.1" 200 7711 "https://ai.obtv.io/library/ba38c941-65bc-4e9f-bc4e-d3744644b17d" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.13:48518 - "POST /api/media/curator-import HTTP/1.1" 202 Accepted
watcher-1          | 2026-08-25 23:05:20,753 INFO HTTP Request: POST http://api:8000/api/media/curator-import "HTTP/1.1 202 Accepted"
watcher-1          | 2026-08-25 23:05:20,753 INFO Curator manifest accepted: 2af5b55d-4086-4c69-8685-db7f8aaf0bc4=queued
watcher-1          | 2026-08-25 23:05:20,755 INFO Curator manifest processed: /curator-inbox/HD-P240829.xml
worker-cpu-1       | [2026-08-25 23:05:20,929: INFO/ForkPoolWorker-3] Task tasks.proxy.create_proxy[d70038da-7bd9-448a-a692-abf4b7509635] succeeded in 49.49356408708263s: None
worker-cpu-1       | [2026-08-25 23:05:21,070: INFO/MainProcess] Task tasks.ingest.run_ingest_pipeline[6534373b-ece8-45bc-8a75-1f6aabf0f373] received
api-1              | INFO:     172.18.0.12:35562 - "GET /api/jobs?media_id=ba38c941-65bc-4e9f-bc4e-d3744644b17d HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:22 +0000] "GET /api/jobs?media_id=ba38c941-65bc-4e9f-bc4e-d3744644b17d HTTP/1.1" 200 7711 "https://ai.obtv.io/library/ba38c941-65bc-4e9f-bc4e-d3744644b17d" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
worker-cpu-1       | [2026-08-25 23:05:22,460: INFO/ForkPoolWorker-3] Task tasks.ingest.run_ingest_pipeline[6534373b-ece8-45bc-8a75-1f6aabf0f373] succeeded in 1.3887826380087063s: None
worker-cpu-1       | [2026-08-25 23:05:22,610: INFO/MainProcess] Task tasks.audio.extract_audio[7d07c2d8-f8fc-4e19-bf70-11886f7772dc] received
worker-gpu-2-1     | [2026-08-25 23:05:22,795: INFO/ForkPoolWorker-1] HTTP Request: POST http://192.168.101.1:8001/v1/chat/completions "HTTP/1.1 200 OK"
api-1              | INFO:     172.18.0.12:48586 - "GET /api/media/ba38c941-65bc-4e9f-bc4e-d3744644b17d HTTP/1.1" 200 OK
